"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","A1",0,4,24.6,1.5,8.1,3,1,0.4,56.8,34,9.2,0,3,1.2342
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","A2",4,12,16.1,0.5,8.5,2,1,0.3,59.5,28.3,12.2,5,10,1.4092
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","Bw",12,66,21.1,0.4,8.7,1,2,0.3,34.9,50.5,14.6,25,35,1.3438
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","Bk",66,156,13.8,0.2,9,12,22,3.4,37.8,51.6,10.6,94,104,1.3029
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","2CBk1",156,165,6.2,0.5,8.5,109,300,40.9,49.9,34.4,15.7,157,162,0.9332
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","2CBk2",165,178,4.8,0.4,8.5,88,398,48.6,62.9,22.6,14.5,173,176,0.7966
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","2Bkm",178,196,7,0.1,8.2,76,271,34.7,54.8,30.2,15,179,182,1.1494
"D15","ONAQ",35.68839,-83.50185,599,"Shrubland","desert or xeric shrubland","shrubland","Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum","3CBk3",196,200,30.4,1.5,8.2,115,495,61,67.6,19.7,12.7,196,199,0.9329
