"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","Ap",0,27,29.2,3,8,231,4,23.5,18.7,26,55.3,0,10,1.0721
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","Abss",27,55,19.6,1.3,8,0,0,0,15.7,24,60.3,30,40,1.3926
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","Bssyz",55,83,8.5,0.3,8,0,0,0,16.8,24.2,59,64,74,1.3429
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","Bkssyz",83,107,3.8,0,7.9,105,2,10.7,40.2,22.9,36.9,83,93,1.5197
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","2Bky",107,145,2.3,0,8.3,86,10,9.6,47.8,22.7,29.5,120,130,1.7629
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","2C",145,164,0.8,0.1,8.4,81,25,10.6,61.2,18.1,20.7,145,155,1.5694
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","3C",164,176,0.6,0,8.1,97,94,19.1,63.2,15.2,21.6,164,174,1.68
"D04","LAJA",18.02184,-67.07608,40,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima","4C",176,203,1.7,0.1,8.4,168,71,23.9,16.7,31.6,51.7,178,188,1.5252
