"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D03","JERC",31.19608,-84.46647,49,"Temperate coniferous forest","temperate coniferous forest","forest","Aristida beyrichiana, Pinus palustris, Quercus falcata","A",0,8,13.9,0.7,5.7,133,0,13.3,86.2,12,1.8,0,8,1.4166
"D03","JERC",31.19608,-84.46647,49,"Temperate coniferous forest","temperate coniferous forest","forest","Aristida beyrichiana, Pinus palustris, Quercus falcata","E",8,68,2.9,0.3,5.4,7,0,0.7,84.5,12.2,3.3,41,51,1.4706
"D03","JERC",31.19608,-84.46647,49,"Temperate coniferous forest","temperate coniferous forest","forest","Aristida beyrichiana, Pinus palustris, Quercus falcata","Bt1",68,105,1.2,0.2,5.5,8,0,0.8,81.1,11.2,7.7,94,104,1.1273
"D03","JERC",31.19608,-84.46647,49,"Temperate coniferous forest","temperate coniferous forest","forest","Aristida beyrichiana, Pinus palustris, Quercus falcata","Bt2",105,185,0.5,0,5.4,11,0,1.1,76.4,8.6,15,126,136,1.6965
"D03","JERC",31.19608,-84.46647,49,"Temperate coniferous forest","temperate coniferous forest","forest","Aristida beyrichiana, Pinus palustris, Quercus falcata","Bt3",185,200,0.2,0,5.5,22,0,2.2,80.1,8.6,11.3,185,195,1.785
