"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","A",0,10,42.9,4.8,6.7,0,0,0,5.3,61.9,32.8,0,10,0.6826
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","Bt1",10,26,23.4,3.3,6.5,0,0,0,5.1,54.8,40.1,10,20,1.0389
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","Bt2",26,66,11.5,2.2,7.8,0,0,0,2.8,53,44.2,34,39,1.271
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","Btkss",66,89,6.7,1.9,8.4,0,0,0,5.9,61.1,33,69,72,1.6026
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","Btky",89,132,2.7,1.6,8.1,0,0,0,7.2,63.9,28.9,102,106,2.2215
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","2BCy",132,164,3.3,1.6,8.2,0,0,0,11.6,54.3,34.1,140,143,1.4783
"D06","KONZ",39.1007,-96.56227,414,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans","3Bt",164,200,3.4,1.7,8.2,0,0,0,11.4,46.9,41.7,170,173,1.0868
