"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","A",0,8,39.9,2.4,5.9,13,17,3,62.3,32,5.7,0,5,1.0625
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","Bs",8,15,19.7,1.4,5.6,34,71,10.5,62.6,32.1,5.3,8,13,1.3925
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","E",15,23,14.2,0.9,5.6,23,40,6.3,48.3,45.3,6.4,16,21,1.83
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","BS1",23,31,15.1,1,5.5,45,88,13.3,54.5,38.9,6.6,25,30,1.2637
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","BS2",31,48,5.8,0.4,5.7,65,50,11.5,55.8,40.9,3.3,33,43,1.4875
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","E/Bx",48,57,1.4,0.3,5.9,0,0,0,18.6,59.4,22,51,56,1.7021
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","2Bt1",57,83,1.3,0.5,6.3,0,0,0,9,68.4,22.6,60,70,1.7408
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","2Bt2",83,114,1.3,0.3,6.4,0,0,0,8.5,69.6,21.9,91,101,1.7629
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","2C1",114,147,1,0.8,6.6,0,0,0,11.6,71.2,17.2,120,130,1.7794
"D05","UNDE",46.14103,-89.3221,533,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer saccharum, Populus tremuloides, Corylus cornuta","3C2",147,200,0.9,0.1,6,0,0,0,57.9,36.8,5.3,152,162,1.6523
