"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","Oi",0,4,255.1,13.9,4.6,6,0,0.6,53.3,31,15.7,0,4.4,0.4608
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","A",4,9,96.7,7.1,4.6,8,55,6.3,58.8,29.5,11.7,4,9,0.4772
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","Ap",9,17,59.6,3.9,4.8,21,24,4.5,60.1,28.7,11.2,9,15,0.6562
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","Bw/E",17,32,32.9,2,4.9,32,123,15.5,63.9,26.2,9.9,20,30,0.775
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","Bw1",32,53,11.4,1.1,5,36,56,9.2,69.6,23.5,6.9,32,42,1.2805
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","Bw2",53,82,2.8,0.4,5.2,31,85,11.6,87.2,9.7,3.1,55,65,1.4603
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","2BC",82,96,1.1,0.6,5.3,26,56,8.2,94.2,4.2,1.6,85,95,1.4581
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","2C",96,113,1,0.1,5.3,40,93,13.3,80.4,16.2,3.4,101,106,1.7729
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","2Cd1",113,133,1.6,0.5,5.3,53,69,12.2,75.2,20.6,4.2,115,125,1.521
"D01","HARV",42.53562,-72.17562,373,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus rubra, Acer rubrum, Aralia nudicaulis","2Cd2",133,160,0.7,0.2,5.5,113,93,20.6,95.4,2.5,2.1,133,137,0.9727
