"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Oe",0,2,79.9,4.4,6.8,0,0,0,61.7,26.8,11.5,0,2,0.9406
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","A",2,13,33.8,2.1,6.3,0,0,0,61.6,25.8,12.6,2,12,0.9837
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","EA",13,23,8.8,0.7,5.9,0,0,0,61.7,26.6,11.7,13,23,1.481
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","E",23,37,2.9,0.1,5.4,0,0,0,60.8,24.6,14.6,25,35,1.5915
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Bt1",37,60,3.1,0.3,5.3,0,0,0,52.7,16.1,31.2,38,48,1.4644
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Bt2",60,75,1.8,0.2,5.2,0,0,0,52.8,15.5,31.7,63,73,1.3871
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Bt3",75,85,1.9,0.1,5.1,0,0,0,50.9,19.9,29.2,75,85,1.6192
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Btg1",85,131,1,0.1,5.1,0,0,0,53.1,22.6,24.3,100,110,1.6965
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Btg2",131,147,1,0.2,5,0,0,0,50.5,26.2,23.3,135,145,1.6523
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","C",147,156,0.9,0.1,4.9,0,0,0,64.4,17.7,17.9,151,154,1.4598
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","Cg",156,187,0.9,0.2,4.9,2,1,0.3,62.8,17.3,19.9,170,173,1.4368
"D02","SERC",38.89124,-76.55884,27.4,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin","C1",187,200,1.1,0,4.9,7,5,1.2,80.7,7.7,11.6,190,200,1.4479
