"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","AO",0,6,56.3,4.7,7.2,68,49,11.7,55.3,25,19.7,0,6,0.6936
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","Ap",6,16,25.6,2.2,7.8,86,142,22.8,59.3,24.3,16.4,6,16,1.1478
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","2Bw",16,32,30.8,1.6,8.1,179,134,31.3,73.7,17.4,8.9,10,20,1.3352
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","2Bk1",32,58,32.5,0.9,8.5,207,106,31.3,85.6,9.4,5,40,50,1.0925
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","2Bk2",58,92,33.1,0.3,8.6,368,195,56.3,90.5,6.5,3,60,67.5,1.1567
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","2BCk",92,133,28.7,0.1,8.5,221,214,43.5,89.5,7.5,3,115,118.5,1.17
"D09","WOOD",47.12833,-99.23907,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Bromus inermis, Artemisia absinthium","2C",133,200,19.3,0,8.4,148,219,36.7,86.5,6.1,7.4,165,168.5,1.333
