"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","A1",0,4,62.9,5.4,7.2,0,0,0,17.2,56.8,26,0,3,0.396
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","A2",4,11,47.8,4.6,6.9,0,0,0,17.2,57.4,25.4,4,7,0.7368
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","A3",11,31,27,3,6.9,0,0,0,17.8,57.8,24.4,19,29,1.0776
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Bt1",31,46,12.6,1,7.4,0,0,0,20.4,52.9,26.7,33,43,1.365
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Bt2",46,64,10.3,0.7,7.7,6,1,0.7,22.3,51.2,26.5,50,60,1.3429
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Bt3",64,84,10.1,0.2,8.4,18,6,2.4,29.2,41.8,29,70,80,1.2323
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Btk1",84,112,18.1,0.5,8.7,8,0,0.8,25.6,44.4,30,90,100,1.3318
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Btk2",112,145,13.9,0,8.9,102,4,10.6,28.7,43,28.3,114,124,1.3429
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","Bk",145,182,11.2,0.2,9,14,0,1.4,30.5,45,24.5,150,160,1.0997
"D09","NOGP",46.76846,-100.91832,588,"Agricultural","temperate grassland, savanna and shrubland","rangeland/grassland","Poa pratensis, Symphoricarpos occidentalis, Bromus inermis","C",182,200,10,0.1,9.1,67,16,8.3,31.2,44.9,23.9,183,193,1.3484
