"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","Oe",0,3,447.5,18.2,4.5,0,0,0,34.3,53.9,11.8,0,3,0.1059
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","A",3,5,385.7,15,3.8,37,55,9.2,46.8,47,6.2,3,5,0.1658
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","E",5,9,58.8,2.7,5,78,63,14.1,59.3,37,3.7,5,8,0.565
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","Bs1",9,15,38,2.4,5.4,90,188,27.8,61.8,34.6,3.6,9,15,0.7032
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","Bs2",15,22,26.5,1.7,5.4,110,149,25.9,63.3,32.9,3.8,16,21,0.9176
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","Bw",22,40,12.8,1.3,5.3,97,123,22,64.9,32.3,2.8,28,38,0.9195
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","BC",40,73,8.8,0.8,5.4,125,170,29.5,71.5,26.9,1.6,50,60,1.2104
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","C1",73,140,2,0.5,5.5,190,167,35.7,74.6,25.1,0.3,83,93,1.5689
"D01","BART",44.06516,-71.28834,284,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum","C2",140,200,1.2,0.9,5.6,102,155,25.7,73.9,26.1,0,153,156,1.4733
