"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D14","SRER",31.91068,-110.83549,996,"Shrubland","desert or xeric shrubland","shrubland","Larrea tridentata, Prosopis velutina, Zinnia acerosa","A",0,5,17.2,0.7,8.5,43,13,5.6,73.7,22.5,3.8,0,3,1.2887
"D14","SRER",31.91068,-110.83549,996,"Shrubland","desert or xeric shrubland","shrubland","Larrea tridentata, Prosopis velutina, Zinnia acerosa","Bw",5,41,23.4,0.9,8.6,77,61,13.8,63.7,24.8,11.5,16,26,1.3815
"D14","SRER",31.91068,-110.83549,996,"Shrubland","desert or xeric shrubland","shrubland","Larrea tridentata, Prosopis velutina, Zinnia acerosa","Bk1",41,79,31.9,0.7,8.6,122,127,24.9,69.2,20.3,10.5,66,77,1.7472
"D14","SRER",31.91068,-110.83549,996,"Shrubland","desert or xeric shrubland","shrubland","Larrea tridentata, Prosopis velutina, Zinnia acerosa","Bk2",79,132,31.3,0.8,8.5,137,238,37.5,77.5,15.8,6.7,90,105,0.9541
"D14","SRER",31.91068,-110.83549,996,"Shrubland","desert or xeric shrubland","shrubland","Larrea tridentata, Prosopis velutina, Zinnia acerosa","2Bk",132,203,18.3,0.4,8.4,152,108,26,59.2,27.3,13.5,135,145,1.5521
