"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","A1",0,10,23.6,1.3,5,12,35,4.7,90.7,6.3,3,0,10,1.166
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","A2",10,25,8.7,1.1,5.3,11,26,3.7,89.5,7.4,3.1,13,23,1.4976
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","BE",25,37,3.3,0.6,5.3,16,23,3.9,87.8,8.8,3.4,25,35,1.5639
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","Bt",37,75,1.8,0.7,4.8,7,4,1.1,78.4,9.2,12.4,53,63,1.6247
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","Bc",75,93,0.7,0.6,5,0,0,0,87.6,3.8,8.6,79,89,1.6137
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","C1",93,130,0.5,0.5,5.1,0,0,0,91.7,3,5.3,102,112,1.6523
"D08","TALL",32.95106,-87.3941,154,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","C2",130,200,0.6,0.8,5.1,0,0,0,90.2,3.2,6.6,145,155,1.6192
