"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","A",0,18,2.3,0,8.1,4,13,1.7,86.7,6.2,7.1,0,110,1.4196
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","Bw",18,46,3.9,0,8.4,11,2,1.3,83.7,7.9,8.4,23,33,0.9035
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","2Bk",46,78,6.7,0,8.4,25,14,3.9,78.8,8.6,12.6,50,60,1.6451
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","2Bkkm",78,110,33.1,0.3,8.6,83,505,58.8,72.7,12.6,14.7,96,99.5,0.8985
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","2Bkk1",110,173,40.1,0.2,8.4,77,393,47,68.2,15,16.8,150,153.5,0.4485
"D14","JORN",32.59052,-106.84377,1327,"Grassland","desert or xeric shrubland","rangeland/grassland","Yucca elata, Bouteloua eriopoda, Prosopis glandulosa","2Bkk2",173,200,21.5,0.2,8.3,96,412,50.8,85.1,10.4,4.5,192,197,1.6396
