"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","A",0,10,191.5,9.5,6,83,44,12.7,67.6,20.5,11.9,0,10,0.4669
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","AB",10,33,29,1.7,6.1,206,66,27.2,74.4,17.1,8.5,13,23,1.0953
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","C/B",33,84,8.3,0.6,6,181,81,26.2,78.1,15.5,6.4,56,66,1.3126
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","C/B",33,84,8.3,0.6,6,181,81,26.2,78.1,15.5,6.4,56,66,1.1387
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","C/B",33,84,2.3,0.2,5.9,319,61,38,90.7,6.6,2.7,56,66,1.3126
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","C/B",33,84,2.3,0.2,5.9,319,61,38,90.7,6.6,2.7,56,66,1.1387
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","C",84,123,1.9,0.3,6,176,82,25.8,84.6,11.3,4.1,90,100,1.7201
"D10","RMNP",40.27707,-105.54524,2758,"Temperate coniferous forest","temperate coniferous forest","forest","Pinus contorta, Abies lasiocarpa, Juniperus communis","Cr",123,160,1.2,0.2,6.4,170,81,25.1,72.3,21.5,6.2,130,133,1.9342
