"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","Oi",0,2,203.3,8.4,7,0,0,0,2.1,62.3,35.6,0,2,0.1056
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","A1",2,15,27.5,2.4,5.7,1,0,0.1,3.4,57.1,39.5,2,12,1.0251
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","A2",15,27,18.6,1.9,5.1,0,0,0,11.8,45.5,42.7,15,25,0.7033
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","Bt1",27,58,6.1,0.8,4.6,0,0,0,23.2,43.8,33,34,44,1.1205
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","Bt2",58,79,2.4,0.3,4.8,0,0,0,28,45.2,26.8,60,70,1.3206
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","Bt3",79,150,1.4,0.2,4.8,0,0,0,26.7,45.2,28.1,90,100,1.0798
"D08","DELA",32.54092,-87.80341,18,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua","Bt4",150,200,1.1,0.3,4.9,0,0,0,29.8,45.9,24.3,150,200,1.0912
