"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","Oi",0,4,460.6,13.4,5,0,0,0,NA,NA,NA,0,4,0.0753
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","A1",4,18,70.8,2.7,6,42,2,4.4,56.5,30.1,13.4,9,14,0.7281
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","A2",18,32,20.4,1,5.9,54,3,5.7,60.6,27.5,11.9,23,28,1.0902
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","AB",32,52,14.2,0.7,6,43,4,4.7,59.7,28.3,12,38,43,1.0146
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","Bt1",52,91,5.1,0.5,5.8,59,6,6.5,55.1,27.4,17.5,64,69,1.1897
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","Bt2",91,136,2.4,0.2,5.8,47,3,5,48.3,27.9,23.8,102,107,1.3528
"D17","SOAP",37.03269,-119.2621,1204,"Temperate coniferous forest","temperate coniferous forest","forest","Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii","2Bt3",136,213,1.3,0.4,5.9,58,20,7.8,51.5,23.4,25.1,167,172,1.6433
