"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","A",0,4,93.1,7.5,6.8,62,88,15,35.9,41.1,23,0,4,0.3117
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Bt1",4,29,31.4,2.7,6.6,79,86,16.5,39.3,38.8,21.9,14,19,0.9581
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Bw",29,45,23.9,2.1,7.1,81,100,18.1,38.6,39.1,22.3,35,40,0.9868
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Bt2",45,67,14.6,1.2,7.4,91,76,16.7,38.6,39,22.4,48,53,1.1006
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Btk1",67,98,5.8,0.5,7.5,111,107,21.8,41,37.7,21.3,84,89,0.9361
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Btk2",98,126,3.7,0.2,8,110,112,22.2,41.1,39.5,19.4,106,111,1.3377
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Btk3",126,161,13.8,0,8.5,117,145,26.2,38.1,42.3,19.6,129,134,1.3008
"D12","YELL",44.95597,-110.54196,2132,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum","Btk4",161,200,6.3,0.1,8.4,117,189,30.6,40.5,40.2,19.3,166,171,1.2438
