"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","A",0,21,4.9,0.7,5.6,0,0,0,55.5,34.4,10.1,10,18,1.5876
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","E",21,34,2.7,0.5,5.5,0,2,0.2,58.9,33.2,7.9,23,31,1.4364
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","Bt1",34,71,3.6,0.7,5.5,0,0,0,44.3,28.1,27.6,48,56,1.6353
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","Bt2",71,89,2.7,0.6,5.5,0,1,0.1,50,29.7,20.3,75,88,1.7069
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","Bt3",89,122,1.6,0.5,5.7,0,0,0,48.8,36.1,15.1,98,106,1.6512
"D11","CLBJ",33.40143,-97.56725,288,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium","Cd",122,147,1.1,0.4,5.9,0,0,0,45.9,42.1,12,132,140,1.6075
