"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D18","TOOL",68.66045,-149.370128,837,"Tundra","tundra","rangeland/grassland","Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa","Oi",0,6,474.4,10.2,4.7,0,0,0,NA,NA,NA,NA,NA,NA
"D18","TOOL",68.66045,-149.370128,837,"Tundra","tundra","rangeland/grassland","Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa","Oe",6,17,408.7,11.9,4.8,0,0,0,NA,NA,NA,NA,NA,NA
"D18","TOOL",68.66045,-149.370128,837,"Tundra","tundra","rangeland/grassland","Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa","Oa",17,21,306.7,14.7,4.6,0,0,0,NA,NA,NA,NA,NA,NA
"D18","TOOL",68.66045,-149.370128,837,"Tundra","tundra","rangeland/grassland","Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa","Bg",21,45,15.2,0.7,4.8,30,35,6.5,45.1,36.9,18,21,45,1.2293
"D18","TOOL",68.66045,-149.370128,837,"Tundra","tundra","rangeland/grassland","Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa","Cg",45,73,15.1,0.8,4.9,27,29,5.6,44.7,36,19.3,45,73,1.93
