"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","Oe",0,5,169.7,6,4,0,0,0,34.2,60.1,5.7,0,5,0.569
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","A",5,16,27.1,1.5,5.1,12,3,1.5,33.8,58.2,8,9,14,1.0982
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","Bw",16,30,5,0.5,5.6,30,89,11.9,31.8,59.3,8.9,20,25,1.2322
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","BC",30,72,1.5,0.2,6,155,301,45.6,77.7,19,3.3,40,45,1.2264
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","C",72,125,1,0.2,6.4,236,334,57,90.5,7.8,1.7,84,90,1.2382
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","2BC1",125,210,1.8,0.3,6.7,183,279,46.2,67.6,25.4,7,140,145,1.623
"D19","DEJU",63.87983,-145.74765,519,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana","2BC2",210,300,2,0.4,6.8,149,266,41.5,69.1,25.2,5.7,220,223,1.6113
