"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","A1",0,14,61.1,5.1,5.2,126,191,31.7,49.3,38,12.7,0,10,1.0231
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","A2",14,30,32.3,2.6,5.2,154,216,37,61.9,24.9,13.2,19,29,0.9196
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","Bw1",30,49,10.9,0.8,5.3,182,492,67.4,80.6,12.5,6.9,30,33,0.8922
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","Bw2",49,79,5,0.2,5.5,140,201,34.1,72,23.3,4.7,54,64,1.1995
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","2C",79,110,1.5,0.2,5.7,132,159,29.1,69.6,27.1,3.3,84,87,1.1038
"D13","NIWO",40.05236,-105.58324,3474,"Tundra","tundra","rangeland/grassland","Geum rossii, Minuartia obtusiloba, Carex rupestris","2C/Cr",110,200,0.8,0,6,133,292,42.5,80.8,15.9,3.3,125,128,1.1645
