"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","A",0,10,8.4,1,7.8,6,2,0.8,71.5,16.6,11.9,0,10,1.5363
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","BA",10,30,6.3,0.7,6.9,11,7,1.8,73.8,14.3,11.9,20,30,1.5473
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","Bt1",30,54,4.6,0.7,7.5,1,4,0.5,66.5,13.7,19.8,30,34,1.5282
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","Bt2",54,81,4.2,1,8.1,1,0,0.1,48.6,27.8,23.6,70,73,1.6602
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","Bk1",81,137,7.5,0.4,8.4,5,3,0.8,60.2,17.2,22.6,82,85,1.7075
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","Bk2",137,181,5.5,0.1,8.4,17,20,3.7,59.3,19.8,20.9,145,148.5,1.7425
"D10","CPER",40.81297,-104.74455,1548,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata","2C",181,200,3.5,0.6,8.3,39,29,6.8,52.9,21.3,25.8,181,184.5,1.9164
