"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A1",0,19,51.7,2,5.7,62,58,12,79.7,17.6,2.7,10,15,1.027
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A2",19,43,23.8,1.2,5.5,77,87,16.4,79.6,17.5,2.9,45,50,1.1081
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A2",19,43,23.8,1.2,5.5,77,87,16.4,79.6,17.5,2.9,20,25,1.0799
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A2",43,67,30,1.5,5.2,75,67,14.2,79.2,18.2,2.6,45,50,1.1081
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A2",43,67,30,1.5,5.2,75,67,14.2,79.2,18.2,2.6,20,25,1.0799
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","A3",67,101,20.4,1.1,5.4,81,127,20.8,79.1,18.4,2.5,80,85,1.2312
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","2AC",101,132,17.6,0.8,5.3,99,309,40.8,79,18.7,2.3,115,120,1.0355
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","2C1",132,162,7.1,0.5,5.2,103,252,35.5,79.9,17.5,2.6,140,145,1.1426
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","3C2",162,174,5.2,0.2,5.2,91,102,19.3,77,18.4,4.6,165,170,1.3981
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","3C3",174,185,3,0.5,5.5,89,166,25.5,81.3,15.4,3.3,175,180,1.23
"D17","TEAK",37.006472,-119.005758,2145,"Temperate coniferous forest","temperate coniferous forest","forest","Abies magnifica, Abies concolor, Dodecatheon jeffreyi","3C4",185,205,2.2,0.2,5.5,103,231,33.4,82.1,16.2,1.7,185,190,1.5722
