"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","A1",0,8,12.4,1.1,5.4,35,9,4.4,78.8,16.2,5,1,6,1.4125
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","A2",8,34,3.8,0.3,5.8,45,4,4.9,79.1,15.3,5.6,17,22,1.4523
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","BA",34,57,2.3,0.1,6,42,3,4.5,77.4,15.8,6.8,51,56,1.5478
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","Bw",57,81,1.4,0.1,5.9,57,5,6.2,78.6,14.2,7.2,58,63,1.5518
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","C",81,129,0.8,0,6.1,70,3,7.3,86.8,7.1,6.1,83,88,1.6782
"D17","SJER",37.107117,-119.733,374,"Savanna","temperate grassland, savanna and shrubland","rangeland/grassland","Quercus douglasii, Erodium botrys, Bromus diandrus","Cr",129,170,0.5,0,6,61,9,7,92,4.4,3.6,136,141,1.5563
