"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D11","OAES",35.41062,-99.06044,515,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii","A",0,8,33.2,1.8,8,147,86,23.3,12.9,71,16.1,0,8,1.3401
"D11","OAES",35.41062,-99.06044,515,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii","Bw",8,20,39,1.5,8.3,318,564,88.2,12.5,69.6,17.9,9,19,1.6081
"D11","OAES",35.41062,-99.06044,515,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii","CR1",20,31,44.3,1.6,8.4,124,728,85.2,22.1,61,16.9,20,30,1.5805
"D11","OAES",35.41062,-99.06044,515,"Grassland","temperate grassland, savanna and shrubland","rangeland/grassland","Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii","CR2",31,46,32.5,0.7,8.4,184,542,72.6,23.4,56.6,20,32,39,1.5158
