"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","Oi",0,2,381.1,11.1,5.6,0,6,0.6,NA,NA,NA,0,2,0.0609
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","A",2,7,60.5,3.7,7.4,122,193,31.5,16.4,51.5,32.1,2,7,0.6869
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","BA",7,14,28.7,2.5,7.2,76,157,23.3,17.3,50.5,32.2,8,13,0.7939
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","Bt1",14,34,6.7,0.8,5.7,68,206,27.4,17.3,53.4,29.3,20,30,1.1716
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","Bt2",34,59,2.7,0,5.4,80,154,23.4,15.5,53,31.5,35,43,0.8863
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","Bt3",59,114,1.5,0.3,5.5,89,306,39.5,18.3,44.6,37.1,65,68,1.0738
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","2Bt4",114,146,1.1,0.4,5.4,30,33,6.3,14.1,51,34.9,125,135,1.2434
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","2Bt5",146,179,1,0.2,5.6,50,6,5.6,10.1,52.3,37.6,150,160,1.3594
"D02","SCBI",38.89209,-78.13764,410,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Microstegium vimineum, Juglans nigra","2BC",179,200,0.7,0.2,5.8,120,323,44.3,28.1,39,32.9,184,194,1.2876
