"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","O",0,2,430.4,12.1,NA,0,0,0,21.2,78.8,0,0,2,0.0406
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","Ap1",2,14,18.5,1.7,6,100,59,15.9,26.4,54.2,19.4,2,12,1.132
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","Ap2",14,23,9.7,0.8,5.8,152,96,24.8,25.8,53.7,20.5,14,23,1.3776
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","Bt1",23,51,3.6,0.2,6.1,145,8,15.3,17.9,45.5,36.6,27,37,1.2252
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","Bt2",51,84,1.9,0.5,6.6,50,0,5,19.4,38.1,42.5,54,64,1.0397
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","C1",84,128,1,0.3,6.8,0,0,0,32.2,33.7,34.1,90,100,1.352
"D02","BLAN",39.06044,-78.07115,177,"Shrubland","temperate grassland, savanna and shrubland","shrubland","Rhamnus davurica, Lonicera maackii, Solidago altissima","C2",128,200,0.7,0.2,6.1,0,0,0,31.6,36.2,32.2,130,140,1.4313
