"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D03","OSBS",29.68819,-81.99345,55,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus laevis, Pinus palustris, Aristida beyrichiana","A",0,7,5.1,0.1,5.6,0,0,0,97,2,1,0,7,1.3894
"D03","OSBS",29.68819,-81.99345,55,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus laevis, Pinus palustris, Aristida beyrichiana","Bw1",7,28,2.4,0,5.7,0,0,0,97.6,1.5,0.9,16,26,1.5363
"D03","OSBS",29.68819,-81.99345,55,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus laevis, Pinus palustris, Aristida beyrichiana","Bw2",28,125,0.7,0.1,6.2,0,0,0,97.3,1.6,1.1,78,88,1.5805
"D03","OSBS",29.68819,-81.99345,55,"Temperate coniferous forest","temperate coniferous forest","forest","Quercus laevis, Pinus palustris, Aristida beyrichiana","Bw3",125,200,0.3,0.1,6.6,0,0,0,97,1.3,1.7,182,192,2.0171
