"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","Oi",0,5,522.9,16.7,4.4,0,0,0,33.4,56.1,10.5,0,5,0.0264
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","Oe",5,8,229.1,11.9,4.1,0,0,0,63.3,29.9,6.8,5,8,0.9671
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","Oa",8,11,147.6,6.4,4.1,2,1,0.3,70.6,22.3,7.1,8,11,1.0454
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","A",11,44,32.7,1.8,4.3,5,4,0.9,78.8,14.6,6.6,22,32,1.2323
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","E",44,56,6.1,0.6,4.7,3,1,0.4,77,14.1,8.9,45,55,1.4755
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","Bw1",56,105,5.2,0.3,4.7,7,10,1.7,73.1,17.1,9.8,86,96,1.8844
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","Bw2",105,140,3.3,0.3,4.7,12,22,3.4,71.2,17.2,11.6,105,115,1.8402
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","2C1",140,155,1.2,0.8,4.6,12,22,3.4,52.9,23,24.1,150,153,1.6625
"D07","MLBS",37.37783,-80.52425,1177,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Acer rubrum, Quercus alba, Acer pensylvanicum","2Cg2",165,205,0.7,0.5,4.8,3,0,0.3,4.6,38.6,56.8,165,205,1.6118
