"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","A",0,6,6.4,0.4,6.7,1,4,0.5,73,19.7,7.3,0,6,1.5197
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","Bw",6,31,4.8,0.5,8.5,3,6,0.9,71.2,17,11.8,11,21,1.4818
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","Bk1",31,47,25.2,0.5,8.8,39,39,7.8,66.4,16.5,17.1,31,41,1.4488
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","Bk2",47,62,45,0.3,8.8,62,91,15.3,69.6,14.1,16.3,54,59,1.2388
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","Bk3",62,82,33.9,0.1,9,57,108,16.5,80.4,10.4,9.2,65,68,1.6053
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","Ck",82,116,29,0,8.9,85,163,24.8,82.4,10.2,7.4,90,93,1.4734
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","C1",116,160,27.8,0.1,8.9,88,103,19.1,86.8,8,5.2,126,129,1.7462
"D13","MOAB",38.25136,-109.38882,1805,"Grassland","desert or xeric shrubland","rangeland/grassland","Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata","C2",160,200,15.4,0,8.7,0,284,28.4,78.5,15.7,5.8,176,186,2.0171
