"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","A1",0,21,66.3,4.3,5.5,23,23,4.6,55.9,28.5,15.6,1,6,0.7281
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","A2",21,32,19,1.3,5.2,48,48,9.6,53.1,29.9,17,26,31,1.1777
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","Bw",32,58,7.9,0.8,5.1,64,102,16.6,55.3,28.4,16.3,36,41,1.3329
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","C",58,100,2.3,0.5,5.2,172,261,43.3,72.9,18.6,8.5,62,67,1.317
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","Bw1",100,140,2,0.7,5.2,51,16,6.7,37.2,34.8,28,102,107,1.4085
"D07","GRSM",35.68839,-83.50185,599,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum","Bw2",140,206,1.8,0.6,5.3,70,62,13.2,47,30.9,22.1,189,194,1.3369
