"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","Oi",0,1,475.9,11.4,5.3,0,0,0,NA,NA,NA,0,1,0.1138
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","A",1,10,37.7,2.3,5.9,39,119,15.8,29.2,56.3,14.5,1,5,0.7494
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","E",10,19,10.2,0.6,5.5,36,117,15.3,27.5,57.3,15.2,11,16,1.355
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","Bt1",19,40,2.1,0.2,5.3,137,144,28.1,23.8,56.5,19.7,25,35,1.2899
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","2Bt2",40,65,4,0.4,5.3,110,149,25.9,24.4,53,22.6,45,55,1.6729
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","2Bt3",65,147,1,0.3,5,29,122,15.1,18.9,24.3,56.8,75,85,1.4368
"D07","ORNL",35.57525,-84.16581,366,"Temperate deciduous forest","temperate broadleaf or mixed forest","forest","Quercus montana, Liriodendron tulipifera, Cornus florida","2Bt4",147,180,1.1,0.4,5.1,51,69,12,22.1,37.7,40.2,166,169,1.0926
