"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Oe",0,10,431.3,9.2,4.6,0,0,0,NA,NA,NA,0,10,0.0617
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Oa",10,22,219.5,9.2,4.8,0,0,0,NA,NA,NA,10,22,0.3893
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Bg/Oajj",22,38,49.2,1.9,5.1,0,0,0,25.7,63,11.3,22,38,0.8706
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Cg",38,56,32,1.2,5.4,0,0,0,18,69.1,12.9,38,56,1.1482
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Cgf1",56,88,17.5,0.5,5.8,3,0,0.3,29.5,62,8.5,56,88,0.4116
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Cgf2",88,131,20.5,0.6,5.9,2,0,0.2,27.6,63.8,8.6,88,131,0.8396
"D19","BONA",65.15333,-147.50194,186,"Boreal coniferous forest","boreal forest/taiga","forest","Picea mariana, Populus tremuloides, Vaccinium vitis-idaea","Cgf3",131,193,18.8,0.5,5.6,0,0,0,29.8,62.1,8.1,131,193,1.1182
